FlashNb, date, date2, week
1, "2021-01-07", "2021-01-08", 1
2, "2021-01-27", , 4
3, "2021-02-16", , 7
4, "2021-03-02", , 9
5, "2021-03-16", , 11
6, "2021-03-30", , 13
7, "2021-04-12", , 15
8, "2021-04-27", , 17
9, "2021-05-11", , 19
10, "2021-05-25", , 21
11, "2021-06-08", , 23
12, "2021-06-22", , 25
13, "2021-06-29", , 26
14, "2021-07-06", , 27
15, "2021-07-13", , 28
16, "2021-07-20", , 29
17, "2021-07-27", , 30
18, "2021-08-03", , 31
19, "2021-08-10", , 32
20, "2021-08-17", , 33
21, "2021-08-24", , 34
22, "2021-08-31", , 35
23, "2021-09-07", , 36
